Species	Temperature	Oscillation	Dish	Germinated	Germinable
MEOR	20C	alternate	C	1	1
MEOR	20C	alternate	D	3	3
MEOR	20C	constant	A	3	3
MEOR	20C	constant	B	3	3
MEOR	20C	constant	C	4	4
MEOR	20C	constant	D	5	5
MEOR	25C	alternate	A	1	2
MEOR	25C	alternate	B	3	4
MEOR	25C	alternate	C	2	2
MEOR	25C	alternate	D	2	4
MEOR	25C	constant	A	2	3
MEOR	25C	constant	B	5	5
MEOR	25C	constant	C	0	0
MEOR	25C	constant	D	3	3
MEOR	5C	constant	A	2	3
MEOR	5C	constant	B	2	2
MEOR	5C	constant	C	3	3
MEOR	5C	constant	D	2	2
MOMO	10C	alternate	A	3	25
MOMO	10C	alternate	B	1	26
MOMO	10C	alternate	C	4	25
MOMO	10C	alternate	D	2	25
MOMO	10C	constant	A	13	24
MOMO	10C	constant	B	17	26
MOMO	10C	constant	C	11	25
MOMO	10C	constant	D	6	25
MOMO	15C	alternate	A	8	24
MOMO	15C	alternate	B	9	24
MOMO	15C	alternate	C	6	25
MOMO	15C	alternate	D	8	24
MOMO	15C	constant	A	11	29
MOMO	15C	constant	B	8	25
MOMO	15C	constant	C	4	25
MOMO	15C	constant	D	8	25
MOMO	20C	alternate	A	10	25
MOMO	20C	alternate	B	10	24
MOMO	20C	alternate	C	11	24
MOMO	20C	alternate	D	9	23
MOMO	20C	constant	A	1	25
MOMO	20C	constant	B	3	24
MOMO	20C	constant	C	5	25
MOMO	20C	constant	D	3	24
MOMO	25C	alternate	A	6	7
MOMO	25C	alternate	B	10	15
MOMO	25C	alternate	C	15	25
MOMO	25C	alternate	D	10	22
MOMO	25C	constant	A	5	14
MOMO	25C	constant	B	1	9
MOMO	25C	constant	C	2	25
MOMO	25C	constant	D	7	24
MOMO	5C	constant	A	11	25
MOMO	5C	constant	B	4	24
MOMO	5C	constant	C	6	25
MOMO	5C	constant	D	12	25
NIDA	10C	alternate	A	2	24
NIDA	10C	alternate	B	0	25
NIDA	10C	alternate	C	0	25
NIDA	10C	alternate	D	0	25
NIDA	10C	constant	A	5	25
NIDA	10C	constant	B	1	25
NIDA	10C	constant	C	2	25
NIDA	10C	constant	D	6	25
NIDA	15C	alternate	A	18	25
NIDA	15C	alternate	B	17	25
NIDA	15C	alternate	C	19	25
NIDA	15C	alternate	D	16	25
NIDA	15C	constant	A	12	25
NIDA	15C	constant	B	3	25
NIDA	15C	constant	C	0	25
NIDA	15C	constant	D	5	25
NIDA	20C	alternate	A	8	24
NIDA	20C	alternate	B	8	25
NIDA	20C	alternate	C	7	25
NIDA	20C	alternate	D	9	25
NIDA	20C	constant	A	0	25
NIDA	20C	constant	B	0	25
NIDA	20C	constant	C	2	25
NIDA	20C	constant	D	1	25
NIDA	25C	alternate	A	2	25
NIDA	25C	alternate	B	5	25
NIDA	25C	alternate	C	1	25
NIDA	25C	alternate	D	2	25
NIDA	25C	constant	A	0	25
NIDA	25C	constant	B	0	25
NIDA	25C	constant	C	0	25
NIDA	25C	constant	D	1	25
NIDA	5C	constant	A	0	25
NIDA	5C	constant	B	0	24
NIDA	5C	constant	C	0	25
NIDA	5C	constant	D	1	25
SCAT	10C	alternate	A	18	25
SCAT	10C	alternate	B	16	25
SCAT	10C	alternate	C	20	24
SCAT	10C	alternate	D	15	24
SCAT	10C	constant	A	12	24
SCAT	10C	constant	B	6	24
SCAT	10C	constant	C	8	24
SCAT	10C	constant	D	11	24
SCAT	15C	alternate	A	10	24
SCAT	15C	alternate	B	6	24
SCAT	15C	alternate	C	14	24
SCAT	15C	alternate	D	11	24
SCAT	15C	constant	A	18	25
SCAT	15C	constant	B	19	25
SCAT	15C	constant	C	16	24
SCAT	15C	constant	D	13	25
SCAT	20C	alternate	A	21	25
SCAT	20C	alternate	B	20	25
SCAT	20C	alternate	C	16	24
SCAT	20C	alternate	D	18	23
SCAT	20C	constant	A	22	24
SCAT	20C	constant	B	19	25
SCAT	20C	constant	C	21	24
SCAT	20C	constant	D	21	25
SCAT	25C	alternate	A	23	25
